property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,experion windchants,sector 112,3.65,13035.714285714286,3.0,5.0,2,3.0,Relatively New,2800.0,0,1,0,0,0,0,72
flat,vatika gurgaon,sector 83,1.25,6345.177664974619,4.0,4.0,3,12.0,Moderately Old,1970.0,0,1,0,0,0,0,103
flat,green court,sector 90,0.47,6127.770534550195,2.0,2.0,1,0.0,New Property,767.0,0,0,0,0,0,0,49
flat,orchid petals,sector 49,1.9,11875.0,3.0,3.0,3,2.0,Old Property,1600.0,0,0,0,0,1,2,49
flat,bestech altura,sector 79,2.69,12500.0,3.0,4.0,3+,3.0,New Property,2152.0,0,1,0,0,0,0,49
flat,ambience creacions,sector 22,1.99,15486.381322957199,2.0,2.0,2,9.0,New Property,1285.0,1,1,0,1,0,0,20
flat,emaar digihomes,sector 62,3.95,13734.353268428373,3.0,3.0,3,33.0,New Property,2876.0,0,1,0,0,0,2,49
flat,godrej summit,sector 104,0.82,95348.83720930232,2.0,2.0,3,12.0,Relatively New,86.0,1,0,0,0,0,0,120
flat,conscient heritage max,sector 102,2.22,11100.000000000002,3.0,4.0,3+,15.0,Relatively New,2000.0,1,1,0,0,0,0,82
flat,bestech park view spa next,sector 67,2.32,13151.927437641723,3.0,4.0,3+,14.0,Moderately Old,1764.0,0,1,0,0,0,2,59
flat,smart world orchard,sector 61,1.41,12260.869565217392,2.0,2.0,2,2.0,Under Construction,1150.0,1,0,0,0,0,0,76
house,eldeco mansionz,sector 48,4.95,20599.250936329587,7.0,7.0,3+,2.0,Old Property,2403.0,1,1,1,1,0,2,145
flat,dlf the grove,sector 43,6.0,22497.18785151856,4.0,4.0,2,1.0,Under Construction,2667.0,0,1,0,0,0,2,49
house,independent,sector 105,0.6,100000.0,8.0,4.0,3,3.0,New Property,60.0,0,0,0,0,0,0,17
house,independent,sector 38,3.9,21241.830065359478,6.0,6.0,3+,3.0,Moderately Old,1836.0,1,1,0,1,0,0,32
flat,the close north,sector 50,2.92,11230.76923076923,3.0,3.0,3,10.0,Moderately Old,2600.0,0,1,0,0,0,2,174
flat,emaar gurgaon greens,sector 102,1.4,9377.093101138647,3.0,3.0,3,4.0,Relatively New,1493.0,0,1,0,0,0,2,83
flat,adani aangan arcade,sector 88a,0.45,6474.820143884892,2.0,2.0,1,8.0,New Property,695.0,0,0,0,0,0,0,14
flat,kendriya vihar,sector 56,0.55,8112.094395280236,1.0,2.0,1,0.0,Old Property,678.0,0,0,0,0,0,0,68
flat,godrej nature plus,sector 33,1.3,9226.4017033357,3.0,2.0,3+,18.0,New Property,1409.0,0,0,0,0,0,0,38
flat,m3m merlin,sector 67,3.5,16401.124648547328,3.0,4.0,3+,15.0,Relatively New,2134.0,0,1,0,0,0,2,158
flat,m3m urbana,sector 67,1.0,12106.537530266343,1.0,1.0,1,17.0,Relatively New,826.0,0,0,0,0,0,0,49
house,suncity essel towers,sector 28,6.0,22222.222222222223,4.0,4.0,3+,3.0,Old Property,2700.0,1,0,0,0,0,2,89
flat,emaar mgf the enclave,sector 66,1.9,10270.27027027027,3.0,4.0,2,8.0,Relatively New,1850.0,0,1,0,0,0,2,174
flat,dlf regal gardens,sector 90,1.25,7921.419518377693,3.0,3.0,2,11.0,Relatively New,1578.0,0,0,0,0,1,0,14
flat,signature global park 4,sector 36,0.82,9647.05882352941,3.0,2.0,2,2.0,New Property,850.0,0,0,0,0,0,0,8
flat,tulip violet,sector 69,1.37,9841.954022988508,3.0,3.0,1,12.0,Relatively New,1392.0,0,0,0,0,0,0,116
flat,ramprastha the edge towers,sector 37d,1.0,6242.197253433208,3.0,3.0,3+,13.0,Moderately Old,1602.0,0,0,0,0,0,0,38
flat,smart world orchard,sector 61,1.6,12519.561815336463,2.0,2.0,2,3.0,New Property,1278.0,1,0,0,0,0,0,122
flat,guru gram haryana cghs,sector 56,1.38,7225.130890052355,3.0,3.0,3,5.0,Moderately Old,1910.0,1,0,0,0,0,2,134
flat,tulip violet,sector 69,1.36,9523.809523809525,3.0,3.0,2,12.0,Relatively New,1428.0,0,0,0,1,0,2,49
flat,bhemerlei,sohna road road,0.69,5111.11111111111,2.0,2.0,2,3.0,Under Construction,1350.0,0,0,0,0,0,0,0
flat,the close north,sector 50,2.65,10728.744939271255,3.0,4.0,3+,6.0,Moderately Old,2470.0,0,1,0,0,0,2,174
house,sushant lok 1 builder floors,sector 43,1.65,30555.555555555555,4.0,4.0,3+,4.0,Moderately Old,540.0,0,0,0,0,1,1,49
house,independent,sector 7,2.43,70434.78260869565,4.0,4.0,2,3.0,Old Property,345.0,1,0,1,1,0,0,38
